Date,Open,High,Low,Close,Volume,Open Interest
2017-11-01,924.5,953.6,921.7,1086.9,590,115
2017-11-02,935,938,920,925.9,500,378
2017-11-03,927.2,937.5,923,936.7,856,549
2017-11-04,937.3,937.3,926.7,928.5,1127,1024
2017-11-05,944.1,945.6,935,938.4,1397,1479
2017-11-06,946.1,954,944.6,948.2,978,1943
2017-11-07,944,952,941.6,944.5,964,2044
2017-11-08,956.1,960,932.9,942.1,1944,2212
2017-11-09,964.6,970,956,959.2,1139,2541
2017-11-10,990,992,965.5,967.2,1481,2610
2017-11-11,988,992.5,967,990,1080,2500
2017-11-12,986.2,993.5,983.1,991.5,955,2306
2017-11-13,982,987,980,983.8,1015,2341
2017-11-14,985.4,990.8,976,978.1,1122,2336
2017-11-15,995.2,1004.8,985.7,988.8,1670,2265
2017-11-16,995.9,998.3,988.6,994.5,897,2301
2017-11-17,999,1004.5,994.1,995.8,1198,2319
2017-11-18,989.9,1008.6,989.9,1000,1732,2519
2017-11-19,0,0,0,991,0,2553
2017-11-20,994.1,999,982,991,927,2553
2017-11-21,996,998.7,988.6,992.9,1233,2598
2017-11-22,1001.3,1012,993,995.2,1653,2569
2017-11-23,975.8,985.9,974.9,983.5,831,2600
2017-11-24,983.8,989,976,978.3,1072,2461
2017-11-25,983.8,989,976,978.3,1072,2461
2017-11-26,981,988.4,978.6,986.5,1147,2131
2017-11-27,976,986.5,975,978.2,778,1553
2017-11-28,998,1001,970,977.1,950,1255
2017-11-29,1004.5,1008.5,997.2,999.2,409,1158
2017-11-30,1006.5,1013.5,1002.4,1003.6,192,1075
2017-12-01,1031,1031.2,1011.3,1013.3,516,1122
2017-12-02,1026.8,1037,1025,1031.4,107,1057
2017-12-03,0,0,0,1028.2,0,1052
2017-12-04,1033.7,1035,1025.2,1028.2,134,1052
2017-12-05,1033,1033,1023,1031,255,1023
2017-12-06,1038.2,1039,1028.9,1032,132,930
2017-12-07,1042.6,1043,1038,1041.2,170,887
2017-12-08,1047,1052.4,1041.8,1043.6,189,834
2017-12-09,1047.1,1047.3,1040,1043.8,104,804
2017-12-10,1054.5,1056.9,1044,1047.6,211,786
2017-12-11,1027.9,1031,1027.9,1029.5,4,37
2017-12-12,1023.3,1047,1020.7,1042.8,254,657
2017-12-13,1030,1030,1018,1018.8,181,592
2017-12-14,0,0,0,1023.3,0,467
2017-12-15,1033.3,1035,1022.1,1023.3,194,467
2017-12-16,1027.4,1037.9,1027.4,1035.4,115,358
2017-12-17,1030.1,1032.5,1028.6,1030.1,61,301
2017-12-18,1028,1035.9,1023.1,1034.2,67,248
2017-12-19,1043.8,1047.5,1039.1,1039.7,34,215
2017-12-20,1034.8,1034.8,1032.8,1033.2,6,198
2017-12-21,1056.2,1057.1,1037.2,1039.6,24,203
2017-12-22,1046,1053.8,1046,1052.8,42,184
2017-12-23,1038.8,1039,1035.6,1037.3,4,153
2017-12-24,1037.7,1041.2,1033.9,1039.1,32,151
2017-12-25,1028.7,1045.7,1028.7,1044.7,58,148
2017-12-26,1023.5,1043.5,1023.5,1038.9,58,123
2017-12-27,1018.5,1023.7,1018.5,1022.4,38,83
2017-12-28,1021.6,1021.6,1014,1015.3,11,50
2017-12-29,1026,1027,1017,1020.4,17,47
2017-12-30,1019.8,1020.4,1018.5,1019.7,5,36
2017-12-31,1042.9,1042.9,1032.7,1034.3,13,33
2018-01-01,1040,1049,1039.5,1046.1,18,27
2018-01-02,1028,1029.4,1027.2,1028,5,17
2018-01-03,1038.4,1038.4,1028,1034.2,9,13
2018-01-04,0,0,0,1040.5,0,7
2018-01-05,0,0,0,1040.5,0,7
2018-01-06,0,0,0,1040.5,0,7
2018-01-07,0,0,0,1040.5,0,7
2018-01-08,1040.5,1040.5,1040.5,1040.5,1,7
2018-01-09,0,0,0,1056.2,0,8
2018-01-10,1058,1059.9,1053,1056.2,7,8
2018-01-11,0,0,0,1049,0,2
2018-01-12,0,0,0,1049,0,2
2018-01-13,0,0,0,1049,0,2
2018-01-14,0,0,0,1049,0,2
2018-01-15,1040,1057.9,1040,1049,2,2
2018-01-16,1055,1055,1055,1055,1,2
2018-01-17,0,0,0,1082.6,0,2
2018-01-18,0,0,0,1082.6,0,2
2018-01-19,1084.9,1084.9,1080,1082.6,3,2